codeAssociationSortNumber|level|codeAcronym|codeOfficialTitle|codeMediumTitle|codeShortTitle|codeOfficialTitleEn|codeMediumTitleEn|codeShortTitleEn|codeNote|codeNoteEn|codeIncludes|codeIncludesAlso|codeExcludes|codeInfo|codeAdditionalInfo|codeInfoEn|codeUnitOfMeasure|parentCode|codeValidFrom|codeValidTo|codeDateCreated|codeDateModified
"1"|"1"|"SK0"|"Slovenská republika"|"Slovenská republika"|"Slovenská republika"|"The Slovak republic"|"The Slovak republic"|"The Slovak republic"|"územie celej krajiny"|""|""|""|""|""|""|""|""|""|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"2"|"2"|"SK01"|"Bratislavský kraj"|"Bratislavský"|"Bratislavský"|"Region of Bratislava"|"Bratislava"|"Bratislava"|"regionálna štatistická územná jednotka oblasť"|""|""|""|""|""|""|""|""|"SK0"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"3"|"3"|"SK010"|"Bratislavský kraj"|"Bratislavský"|"Bratislavský"|"Region of Bratislava"|"Bratislava"|"Bratislava"|"regionálna štatistická územná jednotka kraj"|""|""|""|""|""|""|""|""|"SK01"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"4"|"4"|"SK0101"|"Okres Bratislava I"|"Bratislava I"|"Bratislava I"|"District of Bratislava I"|"Bratislava I"|"Bratislava I"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK010"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"5"|"5"|"SK0101528595"|"Bratislava - mestská časť Staré Mesto"|"Bratislava - Staré Mesto"|"Bratislava - Staré Mesto"|"Bratislava - urban part Staré Mesto"|"Bratislava - Staré Mesto"|"Bratislava - Staré Mesto"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0101"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"6"|"4"|"SK0102"|"Okres Bratislava II"|"Bratislava II"|"Bratislava II"|"District of Bratislava II"|"Bratislava II"|"Bratislava II"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK010"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"7"|"5"|"SK0102529311"|"Bratislava - mestská časť Podunajské Biskupice"|"Bratislava - Podunajské Biskupice"|"Bratislava - Podunajské Biskupice"|"Bratislava - urban part Podunajské Biskupice"|"Bratislava - Podunajské Biskupice"|"Bratislava - Podunajské Biskupice"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0102"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"8"|"5"|"SK0102529320"|"Bratislava - mestská časť Ružinov"|"Bratislava - Ružinov"|"Bratislava - Ružinov"|"Bratislava - urban part Ružinov"|"Bratislava - Ružinov"|"Bratislava - Ružinov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0102"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"9"|"5"|"SK0102529338"|"Bratislava - mestská časť Vrakuňa"|"Bratislava - Vrakuňa"|"Bratislava - Vrakuňa"|"Bratislava - urban part Vrakuňa"|"Bratislava - Vrakuňa"|"Bratislava - Vrakuňa"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0102"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"10"|"4"|"SK0103"|"Okres Bratislava III"|"Bratislava III"|"Bratislava III"|"District of Bratislava III"|"Bratislava III"|"Bratislava III"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK010"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"11"|"5"|"SK0103529346"|"Bratislava - mestská časť Nové Mesto"|"Bratislava - Nové Mesto"|"Bratislava - Nové Mesto"|"Bratislava - urban part Nové Mesto"|"Bratislava - Nové Mesto"|"Bratislava - Nové Mesto"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0103"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"12"|"5"|"SK0103529354"|"Bratislava - mestská časť Rača"|"Bratislava -   Rača"|"Bratislava -   Rača"|"Bratislava - urban part Rača"|"Bratislava -   Rača"|"Bratislava -   Rača"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0103"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"13"|"5"|"SK0103529362"|"Bratislava - mestská časť Vajnory"|"Bratislava - Vajnory"|"Bratislava - Vajnory"|"Bratislava - urban part Vajnory"|"Bratislava - Vajnory"|"Bratislava - Vajnory"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0103"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"14"|"4"|"SK0104"|"Okres Bratislava IV"|"Bratislava IV"|"Bratislava IV"|"District of Bratislava IV"|"Bratislava IV"|"Bratislava IV"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK010"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"15"|"5"|"SK0104529401"|"Bratislava - mestská časť Devín"|"Bratislava - Devín"|"Bratislava - Devín"|"Bratislava - urban part Devín"|"Bratislava - Devín"|"Bratislava - Devín"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0104"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"16"|"5"|"SK0104529371"|"Bratislava - mestská časť Devínska Nová Ves"|"Bratislava - Devínska Nová Ves"|"Bratislava - Devínska Nová Ves"|"Bratislava - urban part Devínska Nová Ves"|"Bratislava - Devínska Nová Ves"|"Bratislava - Devínska Nová Ves"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0104"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"17"|"5"|"SK0104529389"|"Bratislava - mestská časť Dúbravka"|"Bratislava -   Dúbravka"|"Bratislava -   Dúbravka"|"Bratislava - urban part Dúbravka"|"Bratislava -   Dúbravka"|"Bratislava -   Dúbravka"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0104"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"18"|"5"|"SK0104529397"|"Bratislava - mestská časť Karlova Ves"|"Bratislava - Karlova Ves"|"Bratislava - Karlova Ves"|"Bratislava - urban part Karlova Ves"|"Bratislava - Karlova Ves"|"Bratislava - Karlova Ves"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0104"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"19"|"5"|"SK0104529419"|"Bratislava - mestská časť Lamač"|"Bratislava - Lamač"|"Bratislava - Lamač"|"Bratislava - urban part Lamač"|"Bratislava - Lamač"|"Bratislava - Lamač"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0104"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"20"|"5"|"SK0104529427"|"Bratislava - mestská časť Záhorská Bystrica"|"Bratislava - Záhorská Bystrica"|"Bratislava - Záhorská Bystrica"|"Bratislava - urban part Záhorská Bystrica"|"Bratislava - Záhorská Bystrica"|"Bratislava - Záhorská Bystrica"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0104"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"21"|"4"|"SK0105"|"Okres Bratislava V"|"Bratislava V"|"Bratislava V"|"District of Bratislava V"|"Bratislava V"|"Bratislava V"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK010"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"22"|"5"|"SK0105529435"|"Bratislava - mestská časť Čunovo"|"Bratislava - Čunovo"|"Bratislava - Čunovo"|"Bratislava - urban part Čunovo"|"Bratislava - Čunovo"|"Bratislava - Čunovo"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0105"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"23"|"5"|"SK0105529443"|"Bratislava - mestská časť Jarovce"|"Bratislava - Jarovce"|"Bratislava - Jarovce"|"Bratislava - urban part Jarovce"|"Bratislava - Jarovce"|"Bratislava - Jarovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0105"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"24"|"5"|"SK0105529460"|"Bratislava - mestská časť Petržalka"|"Bratislava - Petržalka"|"Bratislava - Petržalka"|"Bratislava - urban part Petržalka"|"Bratislava - Petržalka"|"Bratislava - Petržalka"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0105"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"25"|"5"|"SK0105529494"|"Bratislava - mestská časť Rusovce"|"Bratislava - Rusovce"|"Bratislava - Rusovce"|"Bratislava - urban part Rusovce"|"Bratislava - Rusovce"|"Bratislava - Rusovce"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0105"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"26"|"4"|"SK0106"|"Okres Malacky"|"Malacky"|"Malacky"|"District of Malacky"|"Malacky"|"Malacky"|"lokálna štatistická územná jednotka okres"|""|""|""|""|""|""|""|""|"SK010"|"01.08.2004"|""|"16.10.2006"|"25.09.2007"
"27"|"5"|"SK0106507831"|"Borinka"|"Borinka"|"Borinka"|"Borinka"|"Borinka"|"Borinka"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"28"|"5"|"SK0106507890"|"Gajary"|"Gajary"|"Gajary"|"Gajary"|"Gajary"|"Gajary"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"29"|"5"|"SK0106507954"|"Jablonové"|"Jablonové"|"Jablonové"|"Jablonové"|"Jablonové"|"Jablonové"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"30"|"5"|"SK0106507962"|"Jakubov"|"Jakubov"|"Jakubov"|"Jakubov"|"Jakubov"|"Jakubov"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"31"|"5"|"SK0106508012"|"Kostolište"|"Kostolište"|"Kostolište"|"Kostolište"|"Kostolište"|"Kostolište"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"32"|"5"|"SK0106508021"|"Kuchyňa"|"Kuchyňa"|"Kuchyňa"|"Kuchyňa"|"Kuchyňa"|"Kuchyňa"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"33"|"5"|"SK0106508039"|"Láb"|"Láb"|"Láb"|"Láb"|"Láb"|"Láb"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"34"|"5"|"SK0106508055"|"Lozorno"|"Lozorno"|"Lozorno"|"Lozorno"|"Lozorno"|"Lozorno"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"35"|"5"|"SK0106508063"|"Malacky"|"Malacky"|"Malacky"|"Malacky"|"Malacky"|"Malacky"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"36"|"5"|"SK0106504556"|"Malé Leváre"|"Malé Leváre"|"Malé Leváre"|"Malé Leváre"|"Malé Leváre"|"Malé Leváre"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"37"|"5"|"SK0106508080"|"Marianka"|"Marianka"|"Marianka"|"Marianka"|"Marianka"|"Marianka"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"38"|"5"|"SK0106508161"|"Pernek"|"Pernek"|"Pernek"|"Pernek"|"Pernek"|"Pernek"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"39"|"5"|"SK0106504629"|"Plavecké Podhradie"|"Plavecké Podhradie"|"Plavecké Podhradie"|"Plavecké Podhradie"|"Plavecké Podhradie"|"Plavecké Podhradie"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"40"|"5"|"SK0106504637"|"Plavecký Mikuláš"|"Plavecký Mikuláš"|"Plavecký Mikuláš"|"Plavecký Mikuláš"|"Plavecký Mikuláš"|"Plavecký Mikuláš"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
"41"|"5"|"SK0106508195"|"Plavecký Štvrtok"|"Plavecký Štvrtok"|"Plavecký Štvrtok"|"Plavecký Štvrtok"|"Plavecký Štvrtok"|"Plavecký Štvrtok"|"lokálna štatistická územná jednotka obec"|""|""|""|""|""|""|""|""|"SK0106"|"01.08.2004"|""|"16.10.2006"|"16.10.2006"
