sortNumber;level;code;customClass;officialTitle;mediumTitle;shortTitle;officialTitleEn;mediumTitleEn;shortTitleEn;note;noteEn;includes;includesAlso;excludes;info;additionalInfo;infoEn;unitOfMeasure;parentCode;validFrom;validTo;dateCreated;dateModified
1;2;00151513;http://data.europa.eu/m8g/PublicOrganization;Úrad vlády SR;;Úrad vlády SR;The Slovak Republic Government Office;;Úrad vlády SR;5030;;;;;;;;;;18.11.1997;;16.04.1998;27.07.2006
2;2;00699021;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo zahraničných vecí a európskych záležitostí SR;;Min.zahranič.vecí SR;Ministry of Foreign and European Affairs of the Slovak Republic;;Min.zahranič.vecí SR;5140;;;;;;;;;;18.11.1997;;16.04.1998;14.12.2012
3;2;30845572;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo obrany SR;;Min.obrany SR;Ministry of Defence of the Slovak Republic;;Min.obrany SR;5212;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
4;2;00151866;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo vnútra SR;;Min.vnútra SR;Ministry of Interior of the Slovak Republic;;Min.vnútra SR;5120;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
5;2;00166073;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo spravodlivosti SR;;Min.spravodlivosti SR;Ministry of Justice of the Slovak Republic;;Min.spravodlivosti SR;5210;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
6;2;00151742;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo financií SR;;Min.financií SR;Ministry of Finance of the Slovak Republic;;Min.financií SR;5125;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
7;2;42181810;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo životného prostredia SR;;Min.život.prostredia SR;Ministry of Environment of the Slovak Republic;;Min.život.prostredia SR;5170;;;;;;;;;;18.11.1997;;16.04.1998;26.03.2007
8;2;00164381;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo školstva, vedy, výskumu a športu SR;;Min.školstva SR;Ministry of Education, Science, Research and Sport of the Slovak Republic;;Min.školstva SR;5195;;;;;;;;;;18.11.1997;;16.04.1998;19.11.2010
9;2;00165565;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo zdravotníctva SR;;Min.zdravotníctva SR;Ministry of Health of the Slovak Republic;;Min.zdravotníctva SR;5205;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
10;2;00681156;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo práce, sociálnych vecí a rodiny SR;;Min.práce,s.vecí,rod.SR;Ministry of Labour, Social Affairs and Family of the Slovak Republic;;Min.práce,s.vecí,rod.SR;5130;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
11;2;00165182;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo kultúry SR;;Min.kultúry SR;Ministry of Culture of the Slovak Republic;;Min.kultúry SR;5200;;;;;;;;;;18.11.1997;;16.04.1998;02.03.2005
12;2;00686832;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo hospodárstva SR;;Min.hospodárstva SR;Ministry of Economy of the Slovak Republic;;Min.hospodárstva SR;5135;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
13;2;00156621;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;;Min.pôd.,rozv.vidieka SR;Ministry of Agriculture and Rural Development of the Slovak Republic;;Min.pôd.,rozv.vidieka SR;5145;;;;;;;;;;18.11.1997;;16.04.1998;19.11.2010
14;2;50349287;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky;;MIRRI;Ministry of Investments, Regional Development and Informatization of the Slovak Republic;;Min.výst.,region.rozv.SR;5180;;;;;;;;;;18.11.1997;30.06.2010;16.04.1998;19.11.2010
15;2;30416094;http://data.europa.eu/m8g/PublicOrganization;Ministerstvo dopravy a výstavby SR;;Min.dopravy a výst.SR;Ministry of Transport and Construction of the Slovak Republic;;Min.dopravy a výst.SR;5150;5150;;;;;;;;;18.11.1997;;16.04.1998;03.01.2017
16;2;00166260;http://data.europa.eu/m8g/PublicOrganization;Úrad geodézie, kartografie a katastra SR;;Úrad geod.,kart.,kat.SR;Geodesy, Cartography and Cadastre Authority of the Slovak Republic;;Úrad geod.,kart.,kat.SR;5265;;;;;;;;;;18.11.1997;;16.04.1998;27.07.2006
17;2;00166197;http://data.europa.eu/m8g/PublicOrganization;Štatistický úrad SR;;Štatistický úrad SR;Statistical Office of the Slovak Republic;;Štatistický úrad SR;5215;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
18;2;31797903;http://data.europa.eu/m8g/PublicOrganization;Úrad pre verejné obstarávanie;;Úrad pre verej.obstaráv.;Office for Public Procurement;;Úrad pre verej.obstaráv.;;;;;;;;;;;01.01.2000;;20.01.2000;03.05.2002
19;2;30844185;http://data.europa.eu/m8g/PublicOrganization;Úrad jadrového dozoru SR;;Úrad jadr.dozoru SR;Office for Nuclear Supervision of the Slovak Republic;;Úrad jadr.dozoru SR;5220;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
20;2;30810787;http://data.europa.eu/m8g/PublicOrganization;Úrad priemyselného vlastníctva SR;;Úrad priemysel.vlast.SR;Industrial Property Office of the Slovak Republic;;Úrad priemysel.vlast.SR;5240;;;;;;;;;;18.11.1997;;16.04.1998;27.07.2006
21;2;30810710;http://data.europa.eu/m8g/PublicOrganization;Úrad pre normalizáciu, metrológiu a skúšobníctvo SR;;Úrad pre normal.,MS SR;Office for Standardization, Metrology and Testing of the Slovak Republic;;Úrad pre normal.,MS SR;5235;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
22;2;00699063;http://data.europa.eu/m8g/PublicOrganization;Protimonopolný úrad SR;;Protimonopolný úrad SR;Anti-Monopoly Office of the Slovak Republic;;Protimonopolný úrad SR;5230;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
23;2;36061701;http://data.europa.eu/m8g/PublicOrganization;Národný bezpečnostný úrad;;Národ. bezpečnostný úrad;National Security Authority;;Národ. bezpečnostný úrad;;;;;;;;;;;01.07.2001;;21.11.2001;27.07.2006
24;2;30844363;http://data.europa.eu/m8g/PublicOrganization;Správa štátnych hmotných rezerv SR;;Správa št.hmot.rez. SR;Administration of State Material Reserves of the Slovak Republic;;Správa št.hmot.rez. SR;5245;;;;;;;;;;18.11.1997;;16.04.1998;16.04.1998
